title,year,length,budget,rating,votes,mpaa,genre
Summer of Sam,1999,142,22,6.5,8151,R,Drama
Summer of Sam,1999,142,22,6.5,8151,R,Romance
THX 1138,1971,88,0.777,6.5,4274,R,Drama
Tuck Everlasting,2002,96,15,6.5,2055,PG,Drama
Tuck Everlasting,2002,96,15,6.5,2055,PG,Romance
Twin Peaks: Fire Walk with Me,1992,135,10,6.5,6927,R,Drama
U-571,2000,116,62,6.5,15792,PG-13,Action
U-571,2000,116,62,6.5,15792,PG-13,Drama
U Turn,1997,125,19,6.5,10306,R,Drama
While You Were Sleeping,1995,103,17,6.5,13035,PG,Comedy
While You Were Sleeping,1995,103,17,6.5,13035,PG,Romance
13 Going On 30,2004,98,37,6.4,7859,PG-13,Comedy
13 Going On 30,2004,98,37,6.4,7859,PG-13,Drama
13 Going On 30,2004,98,37,6.4,7859,PG-13,Romance
Absolute Power,1997,121,50,6.4,7995,R,Drama
Ali,2001,165,107,6.4,9294,R,Drama
Any Given Sunday,1999,156,62,6.4,19531,R,Drama
Apt Pupil,1998,112,14,6.4,6728,R,Drama
Atlantis: The Lost Empire,2001,95,90,6.4,6323,PG,Action
Atlantis: The Lost Empire,2001,95,90,6.4,6323,PG,Animation
Bad Boys,1995,118,23,6.4,15326,R,Action
Bad Boys,1995,118,23,6.4,15326,R,Comedy
Beyond Rangoon,1995,100,23,6.4,1285,R,Drama
Big Trouble,2002,85,40,6.4,4088,PG-13,Comedy
Blast from the Past,1999,112,35,6.4,9483,PG-13,Comedy
Blast from the Past,1999,112,35,6.4,9483,PG-13,Drama
Blast from the Past,1999,112,35,6.4,9483,PG-13,Romance
Bowfinger,1999,97,55,6.4,15000,PG-13,Comedy
"Brothers McMullen, The",1995,98,0.0238,6.4,2325,R,Comedy
"Brothers McMullen, The",1995,98,0.0238,6.4,2325,R,Drama
Bruce Almighty,2003,101,81,6.4,23905,PG-13,Comedy
Bruce Almighty,2003,101,81,6.4,23905,PG-13,Romance
Cellular,2004,94,25,6.4,6182,PG-13,Action
"Civil Action, A",1998,112,60,6.4,6847,PG-13,Drama
Clay Pigeons,1998,104,8,6.4,2658,R,Comedy
Clay Pigeons,1998,104,8,6.4,2658,R,Drama
Code 46,2003,92,7.5,6.4,2094,R,Drama
Code 46,2003,92,7.5,6.4,2094,R,Romance
Conspiracy Theory,1997,135,75,6.4,15470,R,Drama
Conspiracy Theory,1997,135,75,6.4,15470,R,Romance
CQ,2001,91,7,6.4,1315,R,Comedy
CQ,2001,91,7,6.4,1315,R,Drama
Dancing in September,2000,102,0.85,6.4,166,R,Drama
Die Another Day,2002,133,142,6.4,22136,PG-13,Action
Drive,1997,117,3.5,6.4,1086,R,Action
Drive,1997,117,3.5,6.4,1086,R,Comedy
"Game of Their Lives, The",2005,101,20,6.4,125,PG,Drama
"Ghost and the Darkness, The",1996,109,55,6.4,8360,R,Action
"Ghost and the Darkness, The",1996,109,55,6.4,8360,R,Drama
God's Army,2000,108,0.3,6.4,354,PG,Drama
"Happy, Texas",1999,98,1.7,6.4,3453,PG-13,Comedy
"Horse Whisperer, The",1998,170,60,6.4,6744,PG-13,Drama
"Horse Whisperer, The",1998,170,60,6.4,6744,PG-13,Romance
Incident at Loch Ness,2004,94,1.4,6.4,251,PG-13,Comedy
Intermission,2003,102,5,6.4,1971,R,Comedy
Intermission,2003,102,5,6.4,1971,R,Drama
Jersey Girl,2004,102,35,6.4,6853,PG-13,Comedy
Jersey Girl,2004,102,35,6.4,6853,PG-13,Drama
John Q,2002,116,36,6.4,8952,PG-13,Drama
Kiss the Girls,1997,111,27,6.4,9041,R,Drama
"Ladykillers, The",2004,104,35,6.4,10580,R,Comedy
"Last Castle, The",2001,131,60,6.4,7233,R,Action
"Last Castle, The",2001,131,60,6.4,7233,R,Drama
Legally Blonde,2001,96,18,6.4,17572,PG-13,Comedy
"Legend of Bagger Vance, The",2000,126,60,6.4,7123,PG-13,Comedy
"Legend of Bagger Vance, The",2000,126,60,6.4,7123,PG-13,Drama
"Legend of Bagger Vance, The",2000,126,60,6.4,7123,PG-13,Romance
Levity,2003,100,7.5,6.4,1459,R,Drama
"Life Less Ordinary, A",1997,103,12,6.4,8209,R,Comedy
"Life Less Ordinary, A",1997,103,12,6.4,8209,R,Drama
"Life Less Ordinary, A",1997,103,12,6.4,8209,R,Romance
Midnight in the Garden of Good and Evil,1997,155,30,6.4,8517,R,Drama
Mutant Aliens,2001,81,0.2,6.4,223,R,Animation
Mutant Aliens,2001,81,0.2,6.4,223,R,Comedy
My Best Friend's Wedding,1997,105,46,6.4,16648,PG-13,Comedy
My Best Friend's Wedding,1997,105,46,6.4,16648,PG-13,Romance
"Mystery, Alaska",1999,119,28,6.4,5440,R,Comedy
"Mystery, Alaska",1999,119,28,6.4,5440,R,Drama
Outbreak,1995,127,50,6.4,13796,R,Drama
Pecker,1998,87,6,6.4,4013,R,Comedy
Primer,2004,77,0.007,6.4,1466,PG-13,Drama
Rare Birds,2001,99,5,6.4,471,R,Comedy
Rare Birds,2001,99,5,6.4,471,R,Drama
Robots,2005,91,75,6.4,4089,PG,Animation
Robots,2005,91,75,6.4,4089,PG,Comedy
Slums of Beverly Hills,1998,92,5,6.4,2914,R,Comedy
Slums of Beverly Hills,1998,92,5,6.4,2914,R,Drama
Star Wars: Episode I - The Phantom Menace,1999,133,115,6.4,84488,PG,Action
Titan A.E.,2000,94,75,6.4,9373,PG,Action
Titan A.E.,2000,94,75,6.4,9373,PG,Animation
Tomorrow Never Dies,1997,119,110,6.4,19397,PG-13,Action
Under Suspicion,2000,111,25,6.4,3718,R,Drama
Vatel,2000,125,36,6.4,1322,PG-13,Drama
Vatel,2000,125,36,6.4,1322,PG-13,Romance
What Women Want,2000,127,65,6.4,20138,PG-13,Comedy
What Women Want,2000,127,65,6.4,20138,PG-13,Romance
Where the Heart Is,2000,120,15,6.4,5042,PG-13,Comedy
Where the Heart Is,2000,120,15,6.4,5042,PG-13,Drama
Where the Heart Is,2000,120,15,6.4,5042,PG-13,Romance
White Squall,1996,129,38,6.4,3445,PG-13,Drama
Wicker Park,2004,114,30,6.4,3143,PG-13,Drama
Wicker Park,2004,114,30,6.4,3143,PG-13,Romance
Your Friends & Neighbors,1998,100,5,6.4,2659,R,Comedy
Your Friends & Neighbors,1998,100,5,6.4,2659,R,Drama
Air Force One,1997,124,85,6.3,26156,R,Action
Air Force One,1997,124,85,6.3,26156,R,Drama
American Pie 2,2001,105,30,6.3,22752,R,Comedy
American Wedding,2003,103,55,6.3,13590,R,Comedy
Assault on Precinct 13,2005,109,20,6.3,2960,R,Action
Assault on Precinct 13,2005,109,20,6.3,2960,R,Drama
"Badge, The",2002,103,6,6.3,740,R,Action
"Badge, The",2002,103,6,6.3,740,R,Drama
Bamboozled,2000,135,10,6.3,2356,R,Comedy
Bamboozled,2000,135,10,6.3,2356,R,Drama
"Basket, The",1999,105,3,6.3,200,PG,Drama
Best Laid Plans,1999,92,7,6.3,1795,R,Drama
Blood Work,2002,110,50,6.3,5965,R,Drama
Bride & Prejudice,2004,122,7,6.3,1503,PG-13,Comedy
Bride & Prejudice,2004,122,7,6.3,1503,PG-13,Romance
City by the Sea,2002,108,60,6.3,4886,R,Drama
Crime Spree,2003,98,10,6.3,953,R,Comedy
"Day After Tomorrow, The",2004,124,125,6.3,23749,PG-13,Action
"Day After Tomorrow, The",2004,124,125,6.3,23749,PG-13,Drama
Dead Presidents,1995,119,15,6.3,2641,R,Action
Dead Presidents,1995,119,15,6.3,2641,R,Drama
Death to Smoochy,2002,109,55,6.3,8003,R,Comedy
"Defender, The",2004,90,6,6.3,58,R,Action
Dick,1999,94,13,6.3,5004,PG-13,Comedy
Dinosaur,2000,82,127.5,6.3,5839,PG,Animation
Feng yun xiong ba tian xia,1998,85,10,6.3,922,PG-13,Action
Goat on Fire and Smiling Fish,1999,90,0.04,6.3,254,R,Comedy
Goat on Fire and Smiling Fish,1999,90,0.04,6.3,254,R,Romance
Guinevere,1999,104,2.6,6.3,804,R,Drama
Guinevere,1999,104,2.6,6.3,804,R,Romance
Hollywood Ending,2002,112,16,6.3,3673,PG-13,Comedy
Hollywood Ending,2002,112,16,6.3,3673,PG-13,Drama
Kate & Leopold,2001,123,48,6.3,8060,PG-13,Comedy
Kate & Leopold,2001,123,48,6.3,8060,PG-13,Romance
Keane,2004,100,0.85,6.3,34,R,Drama
Lethal Weapon 4,1998,127,140,6.3,17758,R,Action
Lethal Weapon 4,1998,127,140,6.3,17758,R,Comedy
Love Object,2003,88,1,6.3,427,R,Comedy
Lucky Break,2001,108,6,6.3,707,PG-13,Comedy
"Matrix Revolutions, The",2003,125,110,6.3,40058,R,Action
Mindhunters,2004,102,27,6.3,3925,R,Action
Muertos de risa,1999,111,3.5,6.3,334,R,Comedy
My Fellow Americans,1996,101,21.5,6.3,2752,PG-13,Comedy
Nochnoy dozor,2004,115,4.2,6.3,1020,R,Action
O,2001,95,5,6.3,4555,R,Drama
O,2001,95,5,6.3,4555,R,Romance
One Eight Seven,1997,119,23,6.3,2958,R,Drama
Onegin,1999,106,14,6.3,1327,R,Drama
Onegin,1999,106,14,6.3,1327,R,Romance
Phenomenon,1996,123,32,6.3,12075,PG,Drama
Phenomenon,1996,123,32,6.3,12075,PG,Romance
Proof of Life,2000,135,65,6.3,9592,R,Action
Proof of Life,2000,135,65,6.3,9592,R,Drama
"Road to El Dorado, The",2000,89,95,6.3,2838,PG,Action
"Road to El Dorado, The",2000,89,95,6.3,2838,PG,Animation
"Road to El Dorado, The",2000,89,95,6.3,2838,PG,Comedy
Road Trip,2000,94,15.6,6.3,15981,R,Comedy
Rules of Engagement,2000,128,60,6.3,7903,R,Drama
Secret Window,2004,96,40,6.3,13260,PG-13,Drama
Serial Mom,1994,95,13,6.3,4750,R,Comedy
Shanghai Knights,2003,114,50,6.3,7279,PG-13,Action
Shanghai Knights,2003,114,50,6.3,7279,PG-13,Comedy
"Shot at Glory, A",2000,114,9,6.3,286,R,Drama
Smilla's Sense of Snow,1997,120,35,6.3,3722,R,Action
Smilla's Sense of Snow,1997,120,35,6.3,3722,R,Drama
Solaris,2002,99,47,6.3,11808,PG-13,Drama
Solaris,2002,99,47,6.3,11808,PG-13,Romance
Star Trek: Insurrection,1998,103,58,6.3,13395,PG,Action
Star Trek: Insurrection,1998,103,58,6.3,13395,PG,Drama
Star Trek: Insurrection,1998,103,58,6.3,13395,PG,Romance
Starsky & Hutch,2004,101,60,6.3,13529,PG-13,Action
Starsky & Hutch,2004,101,60,6.3,13529,PG-13,Comedy
Super Troopers,2001,100,3,6.3,7728,R,Comedy
Tadpole,2002,78,0.15,6.3,1769,PG-13,Comedy
Tadpole,2002,78,0.15,6.3,1769,PG-13,Drama
Tadpole,2002,78,0.15,6.3,1769,PG-13,Romance
What Dreams May Come,1998,113,85,6.3,11706,PG-13,Drama
What Dreams May Come,1998,113,85,6.3,11706,PG-13,Romance
Wimbledon,2004,98,31,6.3,4297,PG-13,Comedy
Wimbledon,2004,98,31,6.3,4297,PG-13,Drama
Wimbledon,2004,98,31,6.3,4297,PG-13,Romance
"Work and the Glory, The",2004,118,7.5,6.3,180,PG,Drama
"Work and the Glory, The",2004,118,7.5,6.3,180,PG,Romance
"World Is Not Enough, The",1999,128,135,6.3,24205,PG-13,Action
"Yards, The",2000,115,20,6.3,3386,R,Drama
Ace Ventura: Pet Detective,1994,86,12,6.2,20705,PG-13,Comedy
Austin Powers in Goldmember,2002,94,63,6.2,22870,PG-13,Action
Austin Powers in Goldmember,2002,94,63,6.2,22870,PG-13,Comedy
Baby Boy,2001,130,16,6.2,1476,R,Drama
Baby Boy,2001,130,16,6.2,1476,R,Romance
"Ballad of Jack and Rose, The",2005,112,1.5,6.2,269,R,Drama
Basic,2003,98,50,6.2,8370,R,Drama
Beavis and Butt-Head Do America,1996,81,12,6.2,9491,PG-13,Animation
Beavis and Butt-Head Do America,1996,81,12,6.2,9491,PG-13,Comedy
Bicentennial Man,1999,132,100,6.2,8925,PG,Drama
Bicentennial Man,1999,132,100,6.2,8925,PG,Romance
"Bone Collector, The",1999,118,48,6.2,17766,R,Drama
But I'm a Cheerleader,1999,85,1.2,6.2,3897,R,Comedy
But I'm a Cheerleader,1999,85,1.2,6.2,3897,R,Drama
But I'm a Cheerleader,1999,85,1.2,6.2,3897,R,Romance
Can't Hardly Wait,1998,101,10,6.2,8191,PG-13,Comedy
Can't Hardly Wait,1998,101,10,6.2,8191,PG-13,Romance
"Chronicles of Riddick, The",2004,135,110,6.2,11438,PG-13,Action
City of Angels,1998,114,55,6.2,15333,PG-13,Drama
City of Angels,1998,114,55,6.2,15333,PG-13,Romance
"Company, The",2003,112,15,6.2,1505,PG-13,Drama
Don't Say a Word,2001,113,50,6.2,10098,R,Drama
Edtv,1999,122,60,6.2,10085,PG-13,Comedy
Emmett's Mark,2002,104,4.5,6.2,427,R,Drama
Evita,1996,134,55,6.2,8371,PG,Drama
"Four Feathers, The",2002,125,80,6.2,4400,PG-13,Drama
Grumpier Old Men,1995,101,25,6.2,3711,PG-13,Comedy
Grumpier Old Men,1995,101,25,6.2,3711,PG-13,Romance
Hart's War,2002,125,70,6.2,6368,R,Drama
"Heart of Me, The",2002,96,7,6.2,336,R,Drama
"Heart of Me, The",2002,96,7,6.2,336,R,Romance
Heartbreakers,2001,110,40,6.2,8037,PG-13,Comedy
Heartbreakers,2001,110,40,6.2,8037,PG-13,Romance
High Strung,1991,93,0.3,6.2,391,PG,Comedy
I'm with Lucy,2002,90,15,6.2,646,R,Comedy
I'm with Lucy,2002,90,15,6.2,646,R,Romance
I Married a Strange Person!,1997,74,0.25,6.2,391,R,Animation
I Married a Strange Person!,1997,74,0.25,6.2,391,R,Comedy
I Married a Strange Person!,1997,74,0.25,6.2,391,R,Drama
In & Out,1997,92,35,6.2,10352,PG-13,Comedy
Just Looking,1999,97,3,6.2,436,R,Comedy
Kiss of the Dragon,2001,98,25,6.2,7887,R,Action
Kiss of the Dragon,2001,98,25,6.2,7887,R,Drama
Love Story,1970,99,2.2,6.2,2844,PG,Drama
Love Story,1970,99,2.2,6.2,2844,PG,Romance
Miss Congeniality,2000,109,45,6.2,16235,PG-13,Comedy
Northfork,2003,103,1.9,6.2,1521,PG-13,Drama
Osmosis Jones,2001,95,75,6.2,3410,PG,Animation
Osmosis Jones,2001,95,75,6.2,3410,PG,Comedy
Pandaemonium,2000,124,15,6.2,244,PG-13,Drama
"Perfect Storm, The",2000,130,120,6.2,24946,PG-13,Action
"Perfect Storm, The",2000,130,120,6.2,24946,PG-13,Drama
"Powerpuff Girls, The",2002,73,10,6.2,1334,PG,Action
"Powerpuff Girls, The",2002,73,10,6.2,1334,PG,Animation
"Powerpuff Girls, The",2002,73,10,6.2,1334,PG,Comedy
Price of Glory,2000,118,10,6.2,265,PG-13,Drama
Prozac Nation,2001,99,9,6.2,940,R,Drama
"Punisher, The",2004,124,33,6.2,9989,R,Action
"Replacements, The",2000,114,50,6.2,7617,PG-13,Comedy
Resident Evil,2002,100,35,6.2,18978,R,Action
Riding in Cars with Boys,2001,132,48,6.2,4627,PG-13,Comedy
Riding in Cars with Boys,2001,132,48,6.2,4627,PG-13,Drama
Six-String Samurai,1998,91,2,6.2,1163,PG-13,Action
Snitch,1998,90,11,6.2,412,R,Action
Snitch,1998,90,11,6.2,412,R,Drama
Spun,2002,106,2.8,6.2,3924,R,Comedy
Spun,2002,106,2.8,6.2,3924,R,Drama
Stark Raving Mad,2002,102,5,6.2,601,R,Comedy
Stolen Summer,2002,91,1.5,6.2,801,PG,Drama
Swordfish,2001,99,80,6.2,20455,R,Action
Tears of the Sun,2003,121,70,6.2,8690,R,Action
Tears of the Sun,2003,121,70,6.2,8690,R,Drama
Timecode,2000,97,4,6.2,2320,R,Comedy
Timecode,2000,97,4,6.2,2320,R,Drama
Tin Cup,1996,135,45,6.2,7521,R,Comedy
Tin Cup,1996,135,45,6.2,7521,R,Drama
Tin Cup,1996,135,45,6.2,7521,R,Romance
"Walk in the Clouds, A",1995,102,20,6.2,4085,PG-13,Drama
"Walk in the Clouds, A",1995,102,20,6.2,4085,PG-13,Romance
Where's Marlowe?,1998,97,3.5,6.2,188,R,Comedy
Where the Money Is,2000,89,18,6.2,1461,PG-13,Comedy
Where the Money Is,2000,89,18,6.2,1461,PG-13,Drama
Willard,2003,100,22,6.2,2913,PG-13,Comedy
Willard,2003,100,22,6.2,2913,PG-13,Drama
"Wood, The",1999,102,6,6.2,1170,R,Comedy
"Wood, The",1999,102,6,6.2,1170,R,Drama
"Wood, The",1999,102,6,6.2,1170,R,Romance
You've Got Mail,1998,119,65,6.2,20053,PG,Comedy
You've Got Mail,1998,119,65,6.2,20053,PG,Romance
"13th Warrior, The",1999,102,85,6.1,14344,R,Action
15 Minutes,2001,120,42,6.1,10866,R,Drama
"51st State, The",2001,92,28,6.1,6752,R,Action
"51st State, The",2001,92,28,6.1,6752,R,Comedy
Along Came a Spider,2001,104,28,6.1,9456,R,Drama
Bad Boys II,2003,145,130,6.1,13087,R,Action
Bad Boys II,2003,145,130,6.1,13087,R,Comedy
Basil,1998,113,10,6.1,367,R,Drama
Basil,1998,113,10,6.1,367,R,Romance
Behind Enemy Lines,2001,106,40,6.1,10856,PG-13,Action
Behind Enemy Lines,2001,106,40,6.1,10856,PG-13,Drama
Beyond Re-Animator,2003,96,3,6.1,908,R,Comedy
"Big Tease, The",1999,86,4,6.1,670,R,Comedy
Birthday Girl,2001,93,13,6.1,5340,R,Comedy
Birthday Girl,2001,93,13,6.1,5340,R,Drama
Birthday Girl,2001,93,13,6.1,5340,R,Romance
Bring It On,2000,98,10,6.1,11784,PG-13,Comedy
Broken Vessels,1998,90,0.6,6.1,223,R,Drama
Celebrity,1998,113,12,6.1,4820,R,Comedy
Chain of Fools,2000,96,20,6.1,845,R,Comedy
City Hall,1996,111,40,6.1,4381,R,Drama
Crazy in Alabama,1999,111,15,6.1,2086,PG-13,Comedy
Crazy in Alabama,1999,111,15,6.1,2086,PG-13,Drama
Entrapment,1999,113,66,6.1,18543,PG-13,Comedy
Entrapment,1999,113,66,6.1,18543,PG-13,Romance
EuroTrip,2004,90,25,6.1,8390,R,Comedy
"Everlasting Piece, An",2000,103,14,6.1,475,R,Comedy
Flawless,1999,112,27,6.1,3287,R,Comedy
Flawless,1999,112,27,6.1,3287,R,Drama
For Love of the Game,1999,137,50,6.1,5782,PG-13,Drama
For Love of the Game,1999,137,50,6.1,5782,PG-13,Romance
Freddy Vs. Jason,2003,97,25,6.1,11109,R,Action
"General's Daughter, The",1999,116,60,6.1,11128,R,Drama
Heart of America,2003,87,3,6.1,204,R,Drama
Hideous Kinky,1998,98,12,6.1,1615,R,Drama
High Crimes,2002,115,42,6.1,6043,PG-13,Drama
How to Lose a Guy in 10 Days,2003,116,50,6.1,9257,PG-13,Comedy
How to Lose a Guy in 10 Days,2003,116,50,6.1,9257,PG-13,Romance
Hulk,2003,138,120,6.1,20710,PG-13,Action
Hulk,2003,138,120,6.1,20710,PG-13,Drama
Independence Day,1996,153,75,6.1,61831,PG-13,Action
Instinct,1999,126,55,6.1,6298,R,Drama
Jackass: The Movie,2002,87,5,6.1,8893,R,Comedy
Jackass: The Movie,2002,87,5,6.1,8893,R,Documentary
"Kid, The",2000,104,65,6.1,5418,PG,Comedy
"Kid, The",2000,104,65,6.1,5418,PG,Drama
Looney Tunes: Back in Action,2003,91,80,6.1,2559,PG,Action
Looney Tunes: Back in Action,2003,91,80,6.1,2559,PG,Animation
Looney Tunes: Back in Action,2003,91,80,6.1,2559,PG,Comedy
Losing Isaiah,1995,111,17,6.1,794,R,Drama
Mars Attacks!,1996,106,70,6.1,27363,PG-13,Action
Mars Attacks!,1996,106,70,6.1,27363,PG-13,Comedy
Mona Lisa Smile,2003,117,65,6.1,6838,PG-13,Comedy
Mona Lisa Smile,2003,117,65,6.1,6838,PG-13,Drama
Mona Lisa Smile,2003,117,65,6.1,6838,PG-13,Romance
Montana,1998,92,4,6.1,417,R,Action
Montana,1998,92,4,6.1,417,R,Drama
"Mummy Returns, The",2001,130,98,6.1,23551,PG-13,Action
Open Water,2003,79,0.13,6.1,7204,R,Drama
Orange County,2002,82,18,6.1,8526,PG-13,Comedy
Orange County,2002,82,18,6.1,8526,PG-13,Drama
"Original Kings of Comedy, The",2000,115,3,6.1,1386,R,Comedy
"Original Kings of Comedy, The",2000,115,3,6.1,1386,R,Documentary
Outside Providence,1999,96,7,6.1,2735,R,Comedy
Outside Providence,1999,96,7,6.1,2735,R,Drama
Outside Providence,1999,96,7,6.1,2735,R,Romance
Patch Adams,1998,115,50,6.1,12110,PG-13,Comedy
Patch Adams,1998,115,50,6.1,12110,PG-13,Drama
Paycheck,2003,119,60,6.1,10383,PG-13,Action
Sabrina,1995,127,58,6.1,7547,PG,Comedy
Sabrina,1995,127,58,6.1,7547,PG,Drama
Sabrina,1995,127,58,6.1,7547,PG,Romance
Safe Men,1998,88,1,6.1,590,R,Comedy
Save the Last Dance,2001,112,13,6.1,7613,PG-13,Drama
Save the Last Dance,2001,112,13,6.1,7613,PG-13,Romance
Selena,1997,127,20,6.1,2870,PG,Drama
Set It Off,1996,123,9,6.1,1619,R,Action
Set It Off,1996,123,9,6.1,1619,R,Drama
Shallow Hal,2001,113,40,6.1,13217,PG-13,Comedy
Shallow Hal,2001,113,40,6.1,13217,PG-13,Drama
Shallow Hal,2001,113,40,6.1,13217,PG-13,Romance
"Sleeping Dictionary, The",2003,109,12,6.1,696,R,Drama
"Sleeping Dictionary, The",2003,109,12,6.1,696,R,Romance
"Statement, The",2003,120,23,6.1,710,R,Drama
Stepmom,1998,124,50,6.1,7470,PG-13,Comedy
Stepmom,1998,124,50,6.1,7470,PG-13,Drama
Surviving Picasso,1996,125,16,6.1,1139,R,Drama
Surviving Picasso,1996,125,16,6.1,1139,R,Romance
Switchback,1997,118,38,6.1,2195,R,Action
"Tailor of Panama, The",2001,109,18,6.1,5997,R,Comedy
"Tailor of Panama, The",2001,109,18,6.1,5997,R,Drama
There Goes My Baby,1994,110,10.5,6.1,253,R,Comedy
There Goes My Baby,1994,110,10.5,6.1,253,R,Drama
U.S. Marshals,1998,131,60,6.1,10315,PG-13,Action
U.S. Marshals,1998,131,60,6.1,10315,PG-13,Drama
Vanity Fair,2004,141,23,6.1,2151,PG-13,Drama
Vanity Fair,2004,141,23,6.1,2151,PG-13,Romance
We Don't Live Here Anymore,2004,101,3,6.1,1387,R,Drama
Welcome to Collinwood,2002,86,12,6.1,2831,R,Comedy
Zoolander,2001,89,28,6.1,18277,PG-13,Comedy
28 Days,2000,103,43,6,7465,PG-13,Drama
After the Sunset,2004,97,58,6,3431,PG-13,Action
After the Sunset,2004,97,58,6,3431,PG-13,Comedy
Albino Alligator,1996,97,5,6,2077,R,Drama
Alfie,2004,103,60,6,3492,R,Comedy
Alfie,2004,103,60,6,3492,R,Drama
Alien: Resurrection,1997,116,70,6,24358,R,Action
Anger Management,2003,106,75,6,14280,PG-13,Comedy
Antitrust,2001,108,30,6,7326,PG-13,Drama
"Battle of Shaker Heights, The",2003,90,1,6,854,PG-13,Comedy
"Battle of Shaker Heights, The",2003,90,1,6,854,PG-13,Drama
"Battle of Shaker Heights, The",2003,90,1,6,854,PG-13,Romance
Birth,2004,100,20,6,2600,R,Drama
Birth,2004,100,20,6,2600,R,Romance
Blood and Wine,1996,101,26,6,2134,R,Drama
Bruno,2000,108,10,6,295,PG-13,Comedy
Bruno,2000,108,10,6,295,PG-13,Drama
"Brylcreem Boys, The",1998,106,6,6,199,PG-13,Drama
"Brylcreem Boys, The",1998,106,6,6,199,PG-13,Romance
Cecil B. DeMented,2000,87,10,6,3464,R,Comedy
Children On Their Birthdays,2002,102,10,6,163,PG,Drama
D.E.B.S.,2004,91,3.5,6,300,PG-13,Action
D.E.B.S.,2004,91,3.5,6,300,PG-13,Comedy
Detroit Rock City,1999,95,15,6,4607,R,Comedy
"Dog of Flanders, A",1999,100,7,6,179,PG,Drama
Down and Out with the Dolls,2001,88,1.2,6,37,R,Comedy
Empire,2002,90,3.5,6,1718,R,Action
Empire,2002,90,3.5,6,1718,R,Drama
Flight of the Phoenix,2004,113,45,6,2732,PG-13,Action
Four Rooms,1995,98,4,6,10675,R,Comedy
Four Rooms,1995,98,4,6,10675,R,Drama
Frankenstein,1994,123,45,6,6941,R,Drama
Gerry,2002,105,3.5,6,1944,R,Drama
"Golden Bowl, The",2000,130,15,6,1145,R,Drama
Groove,2000,86,0.5,6,1171,R,Drama
Hard Ball,2001,109,21,6,3083,PG-13,Drama
Jumanji,1995,104,65,6,14874,PG,Action
Jumanji,1995,104,65,6,14874,PG,Comedy
King Arthur,2004,140,90,6,14272,R,Action
King Arthur,2004,140,90,6,14272,R,Drama
Mad City,1997,115,50,6,3965,PG-13,Drama
"Man in the Iron Mask, The",1998,132,35,6,11127,PG-13,Action
"Man in the Iron Mask, The",1998,132,35,6,11127,PG-13,Drama
"Me, Myself & Irene",2000,116,51,6,21305,R,Comedy
"Mexican, The",2001,123,38,6,13935,R,Comedy
"Mexican, The",2001,123,38,6,13935,R,Romance
"Object of My Affection, The",1998,111,15,6,4027,R,Comedy
"Object of My Affection, The",1998,111,15,6,4027,R,Drama
"Object of My Affection, The",1998,111,15,6,4027,R,Romance
Ocean's Twelve,2004,125,110,6,14797,PG-13,Comedy
Once Upon a Time in Mexico,2003,102,29,6,14732,R,Action
"Perez Family, The",1995,113,11,6,517,R,Comedy
"Perez Family, The",1995,113,11,6,517,R,Drama
"Perez Family, The",1995,113,11,6,517,R,Romance
Queen's Messenger II,2001,90,4,6,27,R,Action
"Rainbow Thief, The",1990,87,10,6,49,R,Drama
Shaft,2000,99,46,6,13742,R,Action
Shall We Dance,2004,106,40,6,3479,PG-13,Comedy
Shall We Dance,2004,106,40,6,3479,PG-13,Drama
Shall We Dance,2004,106,40,6,3479,PG-13,Romance
She's the One,1996,96,3.5,6,3779,R,Comedy
She's the One,1996,96,3.5,6,3779,R,Romance
"Slaughter Rule, The",2002,112,0.5,6,356,R,Drama
Stigmata,1999,103,32,6,14062,R,Drama
Stuart Little,1999,81,103,6,8009,PG,Comedy
Three to Tango,1999,98,20,6,5719,PG-13,Comedy
Three to Tango,1999,98,20,6,5719,PG-13,Romance
Twist,2003,97,0.35,6,197,R,Drama
Undercover Brother,2002,85,25,6,5138,PG-13,Action
Undercover Brother,2002,85,25,6,5138,PG-13,Comedy
Varsity Blues,1999,100,16,6,7974,R,Drama
Wide Awake,1998,88,7,6,655,PG,Comedy
Wide Awake,1998,88,7,6,655,PG,Drama
"6th Day, The",2000,123,82,5.9,12064,PG-13,Action
"Alamo, The",2004,137,95,5.9,3060,PG-13,Action
"Alamo, The",2004,137,95,5.9,3060,PG-13,Drama
Anywhere But Here,1999,114,23,5.9,4007,PG-13,Drama
Baptists at Our Barbecue,2004,92,0.5,5.9,62,PG,Comedy
Baptists at Our Barbecue,2004,92,0.5,5.9,62,PG,Romance
Because of Winn-Dixie,2005,106,14,5.9,483,PG,Comedy
Because of Winn-Dixie,2005,106,14,5.9,483,PG,Drama
Bedazzled,2000,93,48,5.9,11439,PG-13,Comedy
Big Daddy,1999,93,34.2,5.9,18258,PG-13,Comedy
Brown Sugar,2002,109,8,5.9,941,PG-13,Comedy
Brown Sugar,2002,109,8,5.9,941,PG-13,Drama
Brown Sugar,2002,109,8,5.9,941,PG-13,Romance
Captain Corelli's Mandolin,2001,131,57,5.9,5281,R,Drama
Captain Corelli's Mandolin,2001,131,57,5.9,5281,R,Romance
"Craft, The",1996,101,15,5.9,9187,R,Comedy
"Craft, The",1996,101,15,5.9,9187,R,Drama
"Deep End of the Ocean, The",1999,106,40,5.9,2890,PG-13,Drama
